# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
6.780,0.0440,0.9040,0.0200,-2.48,30.88,150,88,STRAIGHT
6.790,0.0680,0.9440,0.0000,-6.72,-29.47,76,150,STRAIGHT
6.800,0.0560,0.9240,0.0120,-4.44,11.04,137,124,STRAIGHT
6.810,0.0600,0.9520,0.0160,-4.28,-1.64,118,147,STRAIGHT
6.820,0.0520,0.9440,0.0000,-5.22,-8.78,107,150,STRAIGHT
6.830,0.0400,0.9440,0.0200,-1.99,18.18,147,111,STRAIGHT
6.840,0.0520,0.9480,0.0200,-3.14,-8.75,107,150,STRAIGHT
6.850,0.0480,0.9600,0.0200,-2.72,0.85,121,142,STRAIGHT
6.860,0.0600,0.9480,0.0120,-4.71,-14.72,98,150,STRAIGHT
6.870,0.0440,0.9480,0.0040,-4.02,1.73,123,141,STRAIGHT
6.880,0.0480,0.9720,0.0080,-3.89,-1.58,118,147,STRAIGHT
6.890,0.0400,0.9400,0.0080,-3.24,1.97,123,140,STRAIGHT
6.900,0.0520,0.9880,0.0040,-4.60,-10.91,104,150,STRAIGHT
6.910,0.0440,0.9280,0.0240,-2.01,14.33,141,118,STRAIGHT
6.920,0.0320,0.9760,0.0160,-1.56,1.74,123,141,STRAIGHT
6.930,0.0200,0.9360,0.0160,-0.41,6.66,130,132,STRAIGHT
6.940,0.0760,1.0000,0.0360,-3.60,-21.27,88,150,STRAIGHT
6.950,0.0200,0.9760,0.0040,-1.60,11.02,137,124,STRAIGHT
6.960,0.0440,0.9720,0.0240,-1.92,-3.09,115,150,STRAIGHT
6.970,0.0320,0.9880,0.0120,-1.94,-1.25,118,146,STRAIGHT
6.980,0.0280,0.9840,0.0400,1.14,19.16,149,110,STRAIGHT
6.990,0.0360,0.9840,0.0080,-2.72,-24.82,83,150,STRAIGHT
7.000,0.0200,0.9800,0.0320,1.16,24.02,150,101,STRAIGHT
7.010,0.0080,0.9840,0.0280,1.96,5.96,129,133,STRAIGHT
7.020,0.0240,0.9920,0.0320,0.76,-6.73,110,150,STRAIGHT
7.030,0.0360,0.9880,0.0160,-1.92,-17.27,94,150,STRAIGHT
7.040,0.0440,0.9440,0.0200,-2.38,-4.18,114,150,STRAIGHT
7.050,0.0120,1.0000,0.0400,2.66,31.85,150,87,STRAIGHT
7.060,0.0200,0.9480,0.0240,0.40,-13.31,100,150,STRAIGHT
7.070,0.0240,1.0000,0.0520,2.60,14.76,142,117,STRAIGHT
7.080,0.0120,0.9600,0.0200,0.81,-10.29,105,150,STRAIGHT
7.090,0.0080,1.0000,0.0120,0.39,-2.25,117,148,STRAIGHT
7.100,0.0320,0.9680,0.0440,1.15,5.23,128,135,STRAIGHT
7.110,0.0120,0.9640,0.0280,1.59,3.62,125,137,STRAIGHT
7.120,0.0120,0.9880,0.0600,4.53,20.33,150,107,STRAIGHT
7.130,0.0360,0.9840,0.0360,0.00,-27.17,79,150,STRAIGHT
7.140,0.0240,0.9800,0.0440,1.91,12.60,139,121,STRAIGHT
7.150,0.0000,0.9480,0.0240,2.47,4.85,127,135,STRAIGHT
7.160,0.0200,0.9840,0.0320,1.16,-7.17,109,150,STRAIGHT
7.170,0.0200,0.9400,0.0480,2.78,11.38,137,124,STRAIGHT
7.180,0.0000,0.9600,0.0520,5.14,17.25,146,113,STRAIGHT
7.190,0.0200,0.9680,0.0600,3.82,-5.64,112,150,STRAIGHT
7.200,0.0160,0.9680,0.0520,3.47,0.03,120,144,STRAIGHT
7.210,0.0200,0.9600,0.0360,1.57,-10.46,104,150,STRAIGHT
7.220,0.0200,0.9440,0.0720,5.02,23.68,150,101,STRAIGHT
7.230,0.0280,0.9520,0.0480,1.95,-17.28,94,150,STRAIGHT
7.240,0.0360,0.9520,0.0520,1.54,-1.52,118,147,STRAIGHT
7.250,0.0040,0.9520,0.0560,5.14,24.68,150,100,STRAIGHT
7.260,0.0040,0.9360,0.0640,5.98,8.61,133,128,STRAIGHT
7.270,0.0200,0.9480,0.0640,4.26,-7.72,108,150,STRAIGHT
7.280,0.0240,0.9280,0.0400,1.61,-14.94,98,150,STRAIGHT
7.290,0.0120,0.9400,0.0720,5.86,28.99,150,92,STRAIGHT
7.300,0.0080,0.8880,0.0480,4.24,-7.19,109,150,STRAIGHT
7.310,0.0320,0.9360,0.0520,1.96,-12.48,101,150,STRAIGHT
7.320,0.0040,0.9000,0.0480,4.62,18.74,148,110,STRAIGHT
7.330,0.0120,0.9200,0.0680,5.60,9.23,134,127,STRAIGHT
7.340,0.0200,0.9240,0.0680,4.74,-2.30,117,148,STRAIGHT
7.350,0.0040,0.9160,0.0840,7.97,24.13,150,101,STRAIGHT
7.360,0.0000,0.9200,0.0480,4.96,-15.08,97,150,STRAIGHT
7.370,0.0040,0.9120,0.0640,6.12,10.66,136,125,STRAIGHT
7.380,0.0000,0.9000,0.0600,6.25,4.52,127,136,STRAIGHT
7.390,0.0240,0.8920,0.0640,4.08,-10.56,104,150,STRAIGHT
7.400,0.0000,0.9040,0.0800,8.13,29.17,150,91,STRAIGHT
7.410,0.0320,0.8760,0.0720,4.08,-21.84,87,150,STRAIGHT
7.420,0.0160,0.9080,0.0760,6.00,15.11,143,117,STRAIGHT
7.430,0.0120,0.8720,0.0840,7.44,13.09,140,120,STRAIGHT
7.440,0.0000,0.8960,0.0720,7.44,4.46,127,136,STRAIGHT
7.450,0.0160,0.8560,0.0760,6.33,-2.86,116,149,STRAIGHT
7.460,0.0000,0.9080,0.0880,8.84,20.34,150,107,STRAIGHT
7.470,0.0040,0.8560,0.0520,5.26,-18.28,93,150,STRAIGHT
7.480,0.0000,0.8840,0.0880,9.05,28.17,150,93,STRAIGHT
7.490,0.0000,0.8840,0.0760,7.92,-2.07,117,148,STRAIGHT
7.500,0.0000,0.8720,0.0920,9.54,15.49,143,116,STRAIGHT
7.510,0.0040,0.8560,0.0720,7.30,-9.11,106,150,STRAIGHT
7.520,0.0000,0.8720,0.0760,8.02,9.13,134,128,STRAIGHT
7.530,0.0000,0.8400,0.0920,9.87,17.05,146,113,STRAIGHT
7.540,0.0000,0.8640,0.0800,8.47,-3.30,115,150,STRAIGHT
7.550,0.0200,0.8800,0.0960,7.63,-0.49,119,145,STRAIGHT
7.560,0.0000,0.8760,0.0720,7.59,4.34,127,136,STRAIGHT
7.570,0.0000,0.8600,0.0880,9.28,15.70,144,116,STRAIGHT
7.580,0.0000,0.8640,0.0920,9.62,7.82,132,130,STRAIGHT
7.590,0.0240,0.8600,0.1080,8.47,-1.85,117,147,STRAIGHT
7.600,0.0000,0.8640,0.0880,9.24,10.20,135,126,STRAIGHT
7.610,0.0040,0.8680,0.0880,8.75,2.29,123,140,STRAIGHT
7.620,0.0000,0.8680,0.1000,10.33,15.68,144,116,TURN_RIGHT
7.630,0.0000,0.8560,0.0880,9.32,-0.46,119,145,STRAIGHT
7.640,0.0160,0.8560,0.0960,8.26,-1.39,118,146,STRAIGHT
7.650,0.0000,0.8680,0.1040,10.70,21.03,150,106,TURN_RIGHT
7.660,0.0040,0.8480,0.0880,8.94,-5.22,112,150,STRAIGHT
7.670,0.0080,0.8600,0.0920,8.75,4.13,126,137,STRAIGHT
7.680,0.0000,0.8760,0.1000,10.25,15.12,143,117,TURN_RIGHT
7.690,0.0000,0.8400,0.1080,11.39,13.71,141,119,TURN_RIGHT
7.700,0.0120,0.8400,0.1080,10.00,-2.35,116,148,STRAIGHT
7.710,0.0160,0.8200,0.0960,8.58,-3.35,115,150,STRAIGHT
7.720,0.0000,0.8520,0.1040,10.88,20.30,150,107,TURN_RIGHT
7.730,0.0000,0.8200,0.1120,12.02,14.04,141,119,TURN_RIGHT
7.740,0.0040,0.8280,0.1240,12.55,10.74,136,125,TURN_RIGHT
7.750,0.0000,0.8480,0.1160,12.03,4.11,126,137,TURN_RIGHT
7.760,0.0200,0.8600,0.1120,9.27,-10.99,104,150,STRAIGHT
7.770,0.0000,0.8080,0.0880,9.82,9.18,134,127,STRAIGHT
7.780,0.0080,0.8400,0.0920,8.94,0.05,120,144,STRAIGHT
7.790,0.0000,0.8120,0.1080,11.74,23.86,150,101,TURN_RIGHT
7.800,0.0000,0.8240,0.1040,11.21,3.53,125,138,TURN_RIGHT
7.810,0.0000,0.8280,0.1000,10.78,3.88,126,137,TURN_RIGHT
7.820,0.0040,0.8120,0.1080,11.26,9.63,134,127,TURN_RIGHT
7.830,0.0000,0.8320,0.1240,12.97,18.07,147,111,TURN_RIGHT
7.840,0.0120,0.7880,0.1320,12.88,7.15,131,131,TURN_RIGHT
7.850,0.0000,0.8200,0.1200,12.77,7.00,131,131,TURN_RIGHT
7.860,0.0160,0.7840,0.1080,10.13,-9.72,105,150,TURN_RIGHT
7.870,0.0000,0.8280,0.1240,13.03,25.17,150,99,TURN_RIGHT
7.880,0.0280,0.7920,0.1200,9.79,-13.56,100,150,STRAIGHT
7.890,0.0080,0.8120,0.0960,9.61,4.68,127,136,STRAIGHT
7.900,0.0000,0.8000,0.1280,13.79,33.39,150,84,TURN_RIGHT
7.910,0.0080,0.7960,0.1280,12.88,2.22,123,140,TURN_RIGHT
7.920,0.0000,0.7800,0.1120,12.56,5.62,128,134,TURN_RIGHT
7.930,0.0040,0.7920,0.1520,15.61,27.70,150,94,TURN_RIGHT
7.940,0.0000,0.7800,0.1400,15.22,6.76,130,132,TURN_RIGHT
7.950,0.0080,0.7640,0.1400,14.47,4.22,126,136,TURN_RIGHT
7.960,0.0040,0.7680,0.1440,15.28,14.03,141,119,TURN_RIGHT
7.970,0.0000,0.7800,0.1640,17.37,22.96,150,103,TURN_RIGHT
7.980,0.0040,0.7720,0.1480,15.58,-1.38,118,146,TURN_RIGHT
7.990,0.0080,0.7600,0.1440,14.91,4.91,127,135,TURN_RIGHT
8.000,0.0240,0.7400,0.1440,13.22,-2.25,117,148,TURN_RIGHT
8.010,0.0160,0.7840,0.1280,12.07,0.36,121,143,TURN_RIGHT
8.020,0.0000,0.7400,0.1520,17.04,40.05,150,72,TURN_RIGHT
8.030,0.0080,0.7360,0.1640,17.18,11.15,137,124,TURN_RIGHT
8.040,0.0000,0.7640,0.1400,15.49,-0.87,119,146,TURN_RIGHT
8.050,0.0160,0.7200,0.1680,16.81,18.05,147,112,TURN_RIGHT
8.060,0.0000,0.7440,0.1640,18.06,18.32,147,111,TURN_RIGHT
8.070,0.0080,0.7440,0.1280,13.64,-18.37,92,150,TURN_RIGHT
8.080,0.0000,0.7120,0.1720,19.46,46.60,150,60,TURN_RIGHT
8.090,0.0080,0.7360,0.1720,17.90,1.42,122,141,TURN_RIGHT
8.100,0.0240,0.7080,0.1640,15.63,-4.30,114,150,TURN_RIGHT
8.110,0.0120,0.7160,0.1720,17.78,23.58,150,102,TURN_RIGHT
8.120,0.0000,0.7040,0.1720,19.63,22.92,150,103,TURN_RIGHT
8.130,0.0000,0.6680,0.2240,25.11,47.93,150,58,TURN_RIGHT
8.140,0.0000,0.7000,0.1680,19.35,-22.93,86,150,TURN_RIGHT
8.150,0.0000,0.6680,0.1800,21.23,23.97,150,101,TURN_RIGHT
8.160,0.0040,0.6880,0.2040,22.32,19.96,150,108,TURN_RIGHT
8.170,0.0160,0.6680,0.2040,21.17,5.80,129,134,TURN_RIGHT
8.180,0.0000,0.6600,0.2040,23.61,28.81,150,92,TURN_RIGHT
8.190,0.0120,0.6720,0.2200,23.01,10.19,135,126,TURN_RIGHT
8.200,0.0120,0.6640,0.2240,23.56,17.41,146,113,TURN_RIGHT
8.210,0.0200,0.6280,0.1960,20.85,-3.70,114,150,TURN_RIGHT
8.220,0.0000,0.6520,0.1960,23.11,27.43,150,95,TURN_RIGHT
8.230,0.0000,0.6480,0.2040,23.94,19.35,149,109,TURN_RIGHT
8.240,0.0080,0.6520,0.2080,23.04,8.41,133,129,TURN_RIGHT
8.250,0.0040,0.6280,0.2280,26.05,33.66,150,83,TURN_RIGHT
8.260,0.0000,0.6520,0.2240,25.57,12.49,139,122,TURN_RIGHT
8.270,0.0000,0.6160,0.2320,27.36,27.14,150,95,TURN_RIGHT
8.280,0.0080,0.6600,0.2320,24.89,0.12,120,144,TURN_RIGHT
8.290,0.0000,0.6160,0.2360,27.70,33.48,150,84,TURN_RIGHT
8.300,0.0120,0.6080,0.2360,26.17,6.51,130,132,TURN_RIGHT
8.310,0.0000,0.5920,0.2520,29.86,40.05,150,72,TURN_RIGHT
8.320,0.0240,0.6000,0.2640,27.03,-0.77,119,145,TURN_RIGHT
8.330,0.0040,0.5920,0.2520,29.25,30.86,150,88,TURN_RIGHT
8.340,0.0000,0.5880,0.2760,31.94,35.36,150,80,TURN_RIGHT
8.350,0.0120,0.5640,0.2680,30.33,8.52,133,129,TURN_RIGHT
8.360,0.0200,0.5680,0.2640,28.64,7.02,131,131,TURN_RIGHT
8.370,0.0000,0.5680,0.2760,32.70,44.00,150,65,TURN_RIGHT
8.380,0.0040,0.5520,0.3160,35.78,39.94,150,72,TURN_RIGHT
8.390,0.0160,0.5840,0.3120,32.46,-0.47,119,145,TURN_RIGHT
8.400,0.0000,0.5440,0.3080,36.15,43.85,150,65,TURN_RIGHT
8.410,0.0040,0.5400,0.3240,36.87,26.42,150,96,TURN_RIGHT
8.420,0.0000,0.5400,0.3240,37.50,26.30,150,97,TURN_RIGHT
8.430,0.0120,0.5400,0.3240,35.62,10.07,135,126,TURN_RIGHT
8.440,0.0040,0.5440,0.3560,38.94,43.29,150,66,TURN_RIGHT
8.450,0.0040,0.5000,0.3400,39.81,29.12,150,92,TURN_RIGHT
8.460,0.0160,0.5080,0.3520,38.36,14.29,141,118,TURN_RIGHT
8.470,0.0040,0.5000,0.3520,40.65,38.18,150,75,TURN_RIGHT
8.480,0.0000,0.4920,0.3840,43.84,45.39,150,62,TURN_RIGHT
8.490,0.0000,0.4800,0.3520,42.31,16.22,144,115,TURN_RIGHT
8.500,0.0000,0.4920,0.3760,43.32,32.05,150,86,TURN_RIGHT
8.510,0.0000,0.4920,0.3720,43.06,24.26,150,100,TURN_RIGHT
8.520,0.0000,0.4880,0.3720,43.26,27.16,150,95,TURN_RIGHT
8.530,0.0080,0.4680,0.3880,43.98,30.74,150,89,TURN_RIGHT
8.540,0.0240,0.4760,0.3760,40.18,1.32,122,142,TURN_RIGHT
8.550,0.0000,0.4560,0.3840,45.71,60.62,150,35,TURN_RIGHT
8.560,0.0160,0.4560,0.4160,45.05,23.01,150,103,TURN_RIGHT
8.570,0.0080,0.4600,0.4240,46.64,37.53,150,76,TURN_RIGHT
8.580,0.0040,0.4520,0.4120,47.00,30.41,150,89,TURN_RIGHT
8.590,0.0040,0.4640,0.4000,45.62,19.08,149,110,TURN_RIGHT
8.600,0.0000,0.4360,0.4080,48.34,45.32,150,62,TURN_RIGHT
8.610,0.0000,0.4440,0.4160,48.37,29.21,150,91,TURN_RIGHT
8.620,0.0160,0.4400,0.4440,47.56,23.63,150,101,TURN_RIGHT
8.630,0.0280,0.4560,0.4280,43.86,4.14,126,137,TURN_RIGHT
8.640,0.0000,0.4280,0.4280,50.00,66.84,150,24,TURN_RIGHT
8.650,0.0080,0.4120,0.4360,50.00,30.00,150,90,TURN_RIGHT
8.660,0.0000,0.4360,0.4520,50.90,35.95,150,79,TURN_RIGHT
8.670,0.0000,0.4480,0.4440,49.78,23.11,150,102,TURN_RIGHT
8.680,0.0080,0.4360,0.4360,48.64,22.35,150,104,TURN_RIGHT
8.690,0.0080,0.4160,0.4640,51.35,47.10,150,59,TURN_RIGHT
8.700,0.0000,0.4120,0.4680,53.18,42.89,150,67,TURN_RIGHT
8.710,0.0040,0.4160,0.4480,51.15,18.51,148,111,TURN_RIGHT
8.720,0.0200,0.4360,0.4440,47.11,4.02,126,137,TURN_RIGHT
8.730,0.0080,0.4320,0.4720,50.88,53.12,150,48,TURN_RIGHT
8.740,0.0320,0.4200,0.4560,46.70,2.93,124,139,TURN_RIGHT
8.750,0.0040,0.4120,0.4760,52.91,69.06,150,20,TURN_RIGHT
8.760,0.0000,0.3920,0.4480,53.33,34.51,150,82,TURN_RIGHT
8.770,0.0000,0.4120,0.4760,53.60,33.78,150,83,TURN_RIGHT
8.780,0.0040,0.4400,0.4680,50.88,14.17,141,118,TURN_RIGHT
8.790,0.0000,0.4120,0.4520,52.31,40.01,150,72,TURN_RIGHT
8.800,0.0000,0.3960,0.4600,53.74,40.78,150,71,TURN_RIGHT
8.810,0.0160,0.4120,0.4480,49.32,3.05,125,139,TURN_RIGHT
8.820,0.0040,0.4120,0.4680,52.49,50.53,150,53,TURN_RIGHT
8.830,0.0120,0.4080,0.4400,49.77,13.53,140,120,TURN_RIGHT
8.840,0.0280,0.4320,0.4520,46.49,8.24,132,129,TURN_RIGHT
8.850,0.0040,0.4280,0.4360,49.77,49.53,150,55,TURN_RIGHT
8.860,0.0000,0.4160,0.4400,51.40,40.63,150,71,TURN_RIGHT
8.870,0.0000,0.4160,0.4480,51.85,33.81,150,83,TURN_RIGHT
8.880,0.0000,0.4320,0.4040,48.33,7.84,132,130,TURN_RIGHT
8.890,0.0200,0.4440,0.4360,46.22,15.11,143,117,TURN_RIGHT
8.900,0.0000,0.4480,0.4120,47.91,38.85,150,74,TURN_RIGHT
8.910,0.0000,0.4280,0.3760,46.77,21.21,150,106,TURN_RIGHT
8.920,0.0000,0.4600,0.3880,45.75,21.38,150,106,TURN_RIGHT
8.930,0.0000,0.4400,0.3840,46.60,33.04,150,85,TURN_RIGHT
8.940,0.0120,0.4440,0.3960,45.07,17.85,147,112,TURN_RIGHT
8.950,0.0280,0.4640,0.3880,40.91,-0.42,119,145,TURN_RIGHT
8.960,0.0080,0.4880,0.3760,42.20,33.08,150,84,TURN_RIGHT
8.970,0.0000,0.4600,0.3720,44.71,41.89,150,69,TURN_RIGHT
8.980,0.0000,0.4720,0.3640,43.54,19.10,149,110,TURN_RIGHT
8.990,0.0000,0.4840,0.3240,40.10,3.41,125,138,TURN_RIGHT
9.000,0.0000,0.5040,0.3560,41.40,32.62,150,85,TURN_RIGHT
9.010,0.0040,0.4920,0.3400,40.19,16.89,145,114,TURN_RIGHT
9.020,0.0000,0.5000,0.3360,40.19,24.11,150,101,TURN_RIGHT
9.030,0.0200,0.5360,0.3200,34.25,-15.12,97,150,TURN_RIGHT
9.040,0.0040,0.5120,0.3320,38.68,49.80,150,54,TURN_RIGHT
9.050,0.0000,0.5240,0.3040,36.71,10.24,135,126,TURN_RIGHT
9.060,0.0240,0.5240,0.3040,32.86,-3.39,115,150,TURN_RIGHT
9.070,0.0000,0.5440,0.3040,35.85,39.42,150,73,TURN_RIGHT
9.080,0.0160,0.5560,0.2800,30.99,-10.59,104,150,TURN_RIGHT
9.090,0.0080,0.5320,0.2840,33.50,35.15,150,81,TURN_RIGHT
9.100,0.0000,0.5440,0.2960,35.24,31.60,150,87,TURN_RIGHT
9.110,0.0120,0.5720,0.2680,30.05,-13.12,100,150,TURN_RIGHT
9.120,0.0040,0.5800,0.2480,29.33,13.28,140,120,TURN_RIGHT
9.130,0.0000,0.5880,0.2760,31.94,34.87,150,81,TURN_RIGHT
9.140,0.0080,0.5760,0.2680,30.52,9.74,135,126,TURN_RIGHT
9.150,0.0080,0.5920,0.2800,30.91,20.90,150,106,TURN_RIGHT
9.160,0.0000,0.5960,0.2480,29.38,8.48,133,129,TURN_RIGHT
9.170,0.0040,0.6000,0.2320,27.27,3.70,126,137,TURN_RIGHT
9.180,0.0040,0.6200,0.2160,25.24,2.94,124,139,TURN_RIGHT
9.190,0.0000,0.6240,0.2400,27.78,31.90,150,87,TURN_RIGHT
9.200,0.0000,0.6160,0.2400,28.04,18.38,148,111,TURN_RIGHT
9.210,0.0280,0.6400,0.1880,18.69,-44.86,53,150,TURN_RIGHT
9.220,0.0000,0.6600,0.2160,24.66,50.59,150,53,TURN_RIGHT
9.230,0.0000,0.6320,0.1840,22.55,0.88,121,142,TURN_RIGHT
9.240,0.0000,0.6680,0.1840,21.60,7.24,131,131,TURN_RIGHT
9.250,0.0120,0.6520,0.2080,22.48,18.77,148,110,TURN_RIGHT
9.260,0.0000,0.6920,0.1880,21.36,6.14,129,133,TURN_RIGHT
9.270,0.0360,0.7040,0.2040,17.80,-10.72,104,150,TURN_RIGHT
9.280,0.0000,0.7160,0.1840,20.44,28.15,150,93,TURN_RIGHT
9.290,0.0000,0.7120,0.2040,22.27,24.32,150,100,TURN_RIGHT
9.300,0.0080,0.7160,0.1720,18.30,-12.82,101,150,TURN_RIGHT
9.310,0.0000,0.7160,0.1680,19.00,15.61,143,116,TURN_RIGHT
9.320,0.0160,0.7360,0.1600,15.79,-9.82,105,150,TURN_RIGHT
9.330,0.0000,0.7480,0.1640,17.98,23.95,150,101,TURN_RIGHT
9.340,0.0000,0.7560,0.1400,15.63,-4.77,113,150,TURN_RIGHT
9.350,0.0000,0.7560,0.1360,15.25,6.88,130,132,TURN_RIGHT
9.360,0.0240,0.7840,0.1240,10.73,-20.66,89,150,TURN_RIGHT
9.370,0.0160,0.7840,0.1280,12.07,15.28,143,117,TURN_RIGHT
9.380,0.0160,0.8000,0.1400,12.97,13.19,140,120,TURN_RIGHT
9.390,0.0040,0.8080,0.1280,13.19,9.24,134,127,TURN_RIGHT
9.400,0.0000,0.8200,0.1280,13.50,9.96,135,126,TURN_RIGHT
9.410,0.0160,0.8360,0.1240,11.07,-7.98,108,150,TURN_RIGHT
9.420,0.0160,0.8320,0.1080,9.62,-2.88,116,149,STRAIGHT
9.430,0.0120,0.8760,0.1000,8.91,1.04,122,142,STRAIGHT
9.440,0.0040,0.8760,0.0960,9.43,8.77,133,128,STRAIGHT
9.450,0.0280,0.8720,0.0760,4.92,-24.10,84,150,STRAIGHT
9.460,0.0000,0.8840,0.1000,10.16,37.56,150,76,TURN_RIGHT
9.470,0.0000,0.8680,0.0560,6.06,-20.98,89,150,STRAIGHT
9.480,0.0080,0.8920,0.0920,8.47,19.52,149,109,STRAIGHT
9.490,0.0280,0.9400,0.0680,3.86,-25.32,82,150,STRAIGHT
9.500,0.0080,0.9560,0.0560,4.71,7.89,132,130,STRAIGHT
9.510,0.0360,0.9520,0.0680,3.03,-8.24,108,150,STRAIGHT
9.520,0.0120,0.9720,0.0640,4.96,14.57,142,118,STRAIGHT
9.530,0.0120,0.9720,0.0480,3.49,-6.75,110,150,STRAIGHT
9.540,0.0120,0.9880,0.0400,2.69,-3.16,115,150,STRAIGHT
9.550,0.0360,0.9840,0.0480,1.12,-8.74,107,150,STRAIGHT
9.560,0.0000,0.9960,0.0400,3.86,18.74,148,110,STRAIGHT
9.570,0.0240,0.9880,0.0520,2.63,-5.80,111,150,STRAIGHT
9.580,0.0200,0.9840,0.0280,0.78,-10.67,104,150,STRAIGHT
9.590,0.0560,1.0000,0.0240,-2.96,-24.21,84,150,STRAIGHT
9.600,0.0280,0.9640,0.0160,-1.19,9.92,135,126,STRAIGHT
9.610,0.0720,0.9960,0.0120,-5.56,-29.52,76,150,STRAIGHT
9.620,0.0720,0.9400,0.0200,-5.04,0.08,120,144,STRAIGHT
9.630,0.1320,0.9440,0.0160,-10.62,-39.88,60,150,TURN_LEFT
9.640,0.1760,0.9120,0.0080,-15.33,-37.43,64,150,TURN_LEFT
9.650,0.2360,0.8760,0.0000,-21.22,-48.10,48,150,TURN_LEFT
9.660,0.2960,0.8200,0.0120,-25.18,-38.83,62,150,TURN_LEFT
9.670,0.4040,0.8000,0.0000,-33.55,-70.40,14,150,TURN_LEFT
9.680,0.4880,0.7080,0.0200,-38.49,-52.68,41,150,TURN_LEFT
9.690,0.6080,0.7000,0.0080,-45.59,-69.99,15,150,TURN_LEFT
9.700,0.7080,0.6640,0.0000,-51.60,-67.03,19,150,TURN_LEFT
9.710,0.8000,0.5760,0.0000,-58.14,-74.10,9,150,TURN_LEFT
9.720,0.8680,0.5120,0.0000,-62.90,-66.29,21,150,TURN_LEFT
9.730,0.9400,0.5040,0.0160,-63.29,-40.31,60,150,TURN_LEFT
9.740,0.9560,0.4320,0.0120,-67.43,-65.30,22,150,TURN_LEFT
9.750,0.9920,0.3960,0.0000,-71.47,-67.13,19,150,TURN_LEFT
9.760,1.0000,0.3440,0.0000,-74.40,-62.25,27,150,TURN_LEFT
9.770,0.9960,0.3120,0.0000,-76.15,-56.14,36,150,TURN_LEFT
9.780,0.9640,0.2920,0.0120,-75.08,-38.64,62,150,TURN_LEFT
9.790,0.9080,0.2320,0.0000,-79.65,-75.21,7,150,TURN_LEFT
9.800,0.8760,0.2200,0.0000,-79.93,-49.62,46,150,TURN_LEFT
9.810,0.8400,0.1600,0.0040,-83.27,-70.00,15,150,TURN_LEFT
9.820,0.7480,0.1640,0.0040,-81.22,-36.47,65,150,TURN_LEFT
9.830,0.6920,0.1440,0.0160,-79.34,-36.33,66,150,TURN_LEFT
9.840,0.6280,0.0920,0.0000,-87.22,-99.61,-29,150,TURN_LEFT
9.850,0.5360,0.0760,0.0000,-87.58,-54.71,38,150,TURN_LEFT
9.860,0.5200,0.0520,0.0000,-90.91,-74.51,8,150,TURN_LEFT
9.870,0.4480,0.0520,0.0160,-83.72,-7.10,109,150,TURN_LEFT
9.880,0.3640,0.0080,0.0080,-93.68,-115.99,-54,150,TURN_LEFT
9.890,0.3200,0.0200,0.0080,-89.66,-29.62,76,150,TURN_LEFT
9.900,0.2800,0.0000,0.0120,-91.78,-67.82,18,150,TURN_LEFT
9.910,0.2480,0.0040,0.0080,-92.31,-58.55,32,150,TURN_LEFT
9.920,0.1960,0.0160,0.0000,-92.45,-56.34,35,150,TURN_LEFT
9.930,0.1720,0.0000,0.0000,-100.00,-105.28,-38,150,TURN_LEFT
9.940,0.1600,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
9.950,0.1280,0.0000,0.0160,-80.00,72.00,150,-40,SEARCHING
9.960,0.1280,0.0040,0.0040,-80.00,-48.00,3,150,SEARCHING
9.970,0.1240,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
9.980,0.0560,0.0040,0.0000,-80.00,-48.00,3,150,SEARCHING
9.990,0.0760,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
10.000,0.0600,0.0040,0.0000,-80.00,-48.00,3,150,SEARCHING
10.010,0.0360,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
10.020,0.0240,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.030,0.0440,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.040,0.0240,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.050,0.0440,0.0160,0.0120,-80.00,-48.00,3,150,SEARCHING
10.060,0.0160,0.0160,0.0000,-80.00,-48.00,3,150,SEARCHING
10.070,0.0320,0.0000,0.0200,-80.00,-48.00,3,150,SEARCHING
10.080,0.0280,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.090,0.0080,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.100,0.0240,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
10.110,0.0040,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.120,0.0040,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.130,0.0240,0.0200,0.0000,-80.00,-48.00,3,150,SEARCHING
10.140,0.0320,0.0080,0.0080,-80.00,-48.00,3,150,SEARCHING
10.150,0.0360,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.160,0.0200,0.0240,0.0000,-80.00,-48.00,3,150,SEARCHING
10.170,0.0240,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.180,0.0160,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
10.190,0.0360,0.0000,0.0120,-80.00,-48.00,3,150,SEARCHING
