# RoboMaster EP 蓝线巡航 · KP_LINE=280 KI_LINE=0 KD_LINE=30 · LOOP_HZ=30
t,linePos,error,u,v,state,markerId
28.967,0.4701,-0.0299,-11.30,0.238,FOLLOW,
29.000,0.4703,-0.0297,-8.12,0.238,FOLLOW,
29.033,0.4756,-0.0244,-2.04,0.240,FOLLOW,
29.067,0.4697,-0.0303,-13.81,0.238,FOLLOW,
29.100,0.4776,-0.0224,0.83,0.241,FOLLOW,
29.133,0.4724,-0.0276,-12.40,0.239,FOLLOW,
29.167,0.4673,-0.0327,-13.71,0.237,FOLLOW,
29.200,0.4625,-0.0375,-14.85,0.235,FOLLOW,
29.233,0.4728,-0.0272,1.60,0.239,FOLLOW,
29.267,0.4696,-0.0304,-11.37,0.238,FOLLOW,
29.300,0.4663,-0.0337,-12.42,0.237,FOLLOW,
29.333,0.4608,-0.0392,-15.89,0.234,FOLLOW,
29.367,0.4767,-0.0233,7.77,0.241,FOLLOW,
29.400,0.4716,-0.0284,-12.53,0.239,FOLLOW,
29.433,0.4770,-0.0230,-1.61,0.241,FOLLOW,
29.467,0.4664,-0.0336,-18.87,0.237,FOLLOW,
29.500,0.4725,-0.0275,-2.26,0.239,FOLLOW,
29.533,0.4656,-0.0344,-15.80,0.236,FOLLOW,
29.567,0.4732,-0.0268,-0.72,0.239,FOLLOW,
29.600,0.4846,-0.0154,5.93,0.244,FOLLOW,
29.633,0.4661,-0.0339,-26.07,0.236,FOLLOW,
29.667,0.4721,-0.0279,-2.39,0.239,FOLLOW,
29.700,0.4760,-0.0240,-3.22,0.240,FOLLOW,
29.733,0.4713,-0.0287,-12.32,0.239,FOLLOW,
29.767,0.4586,-0.0414,-23.02,0.233,FOLLOW,
29.800,0.4708,-0.0292,2.85,0.238,FOLLOW,
29.833,0.4723,-0.0277,-6.41,0.239,FOLLOW,
29.867,0.4691,-0.0309,-11.58,0.238,FOLLOW,
29.900,0.4681,-0.0319,-9.79,0.237,FOLLOW,
29.933,0.4658,-0.0342,-11.62,0.236,FOLLOW,
29.967,0.4679,-0.0321,-7.12,0.237,FOLLOW,
30.000,0.4664,-0.0336,-10.81,0.237,FOLLOW,
30.033,0.4642,-0.0358,-11.97,0.236,FOLLOW,
30.067,0.4635,-0.0365,-10.90,0.235,FOLLOW,
30.100,0.4740,-0.0260,2.26,0.240,FOLLOW,
30.133,0.4672,-0.0328,-15.31,0.237,FOLLOW,
30.167,0.4639,-0.0361,-13.13,0.236,FOLLOW,
30.200,0.4603,-0.0397,-14.37,0.234,FOLLOW,
30.233,0.4667,-0.0333,-3.53,0.237,FOLLOW,
30.267,0.4704,-0.0296,-4.96,0.238,FOLLOW,
30.300,0.4754,-0.0246,-2.35,0.240,FOLLOW,
30.333,0.4724,-0.0276,-10.43,0.239,FOLLOW,
30.367,0.4721,-0.0279,-8.14,0.239,FOLLOW,
30.400,0.4639,-0.0361,-17.50,0.236,FOLLOW,
30.433,0.4666,-0.0334,-6.87,0.237,FOLLOW,
30.467,0.4668,-0.0332,-9.18,0.237,FOLLOW,
30.500,0.4640,-0.0360,-12.59,0.236,FOLLOW,
30.533,0.4697,-0.0303,-3.36,0.238,FOLLOW,
30.567,0.4590,-0.0410,-21.15,0.234,FOLLOW,
30.600,0.4661,-0.0339,-3.08,0.236,FOLLOW,
30.633,0.4648,-0.0352,-11.00,0.236,FOLLOW,
30.667,0.4757,-0.0243,2.97,0.240,FOLLOW,
30.700,0.4608,-0.0392,-24.42,0.234,FOLLOW,
30.733,0.4568,-0.0432,-15.71,0.233,FOLLOW,
30.767,0.4644,-0.0356,-3.05,0.236,FOLLOW,
30.800,0.4622,-0.0378,-12.61,0.235,FOLLOW,
30.833,0.4638,-0.0362,-8.72,0.236,FOLLOW,
30.867,0.4710,-0.0290,-1.64,0.238,FOLLOW,
30.900,0.4686,-0.0314,-10.90,0.237,FOLLOW,
30.933,0.4588,-0.0412,-20.34,0.234,FOLLOW,
30.967,0.4606,-0.0394,-9.49,0.234,FOLLOW,
31.000,0.4588,-0.0412,-13.08,0.234,FOLLOW,
31.033,0.4610,-0.0390,-8.94,0.234,FOLLOW,
31.067,0.4588,-0.0412,-13.52,0.234,FOLLOW,
31.100,0.4665,-0.0335,-2.50,0.237,FOLLOW,
31.133,0.4606,-0.0394,-16.32,0.234,FOLLOW,
31.167,0.4579,-0.0421,-14.16,0.233,FOLLOW,
31.200,0.4551,-0.0449,-15.12,0.232,FOLLOW,
31.233,0.4657,-0.0343,-0.10,0.236,FOLLOW,
31.267,0.4604,-0.0396,-15.84,0.234,FOLLOW,
31.300,0.4603,-0.0397,-11.23,0.234,FOLLOW,
31.333,0.4586,-0.0414,-13.11,0.233,FOLLOW,
31.367,0.4624,-0.0376,-7.07,0.235,FOLLOW,
31.400,0.4588,-0.0412,-14.80,0.234,FOLLOW,
31.433,0.4626,-0.0374,-7.06,0.235,FOLLOW,
31.467,0.4588,-0.0412,-14.97,0.234,FOLLOW,
31.500,0.4555,-0.0445,-15.47,0.232,FOLLOW,
31.533,0.4538,-0.0462,-14.46,0.232,FOLLOW,
31.567,0.4545,-0.0455,-12.09,0.232,FOLLOW,
31.600,0.4605,-0.0395,-5.63,0.234,FOLLOW,
31.633,0.4603,-0.0397,-11.34,0.234,FOLLOW,
31.667,0.4554,-0.0446,-16.82,0.232,FOLLOW,
31.700,0.4552,-0.0448,-12.79,0.232,FOLLOW,
31.733,0.4591,-0.0409,-7.95,0.234,FOLLOW,
31.767,0.4590,-0.0410,-11.58,0.234,FOLLOW,
31.800,0.4565,-0.0435,-14.42,0.233,FOLLOW,
31.833,0.4541,-0.0459,-14.95,0.232,FOLLOW,
31.867,0.4606,-0.0394,-5.24,0.234,FOLLOW,
31.900,0.4480,-0.0520,-25.88,0.229,FOLLOW,
31.933,0.4502,-0.0498,-11.96,0.230,FOLLOW,
31.967,0.4493,-0.0507,-14.99,0.230,FOLLOW,
32.000,0.4472,-0.0528,-16.74,0.229,FOLLOW,
